durations,T_all,NA_core,NA_rim,NB_core,NB_rim
299.0,1200.7249514613704,162.98268292393402,801.0,462.017317076066,0.0
300.0,1200.6727827659815,162.68596760024286,801.0,462.31403239975714,0.0
301.0,1200.6206140705926,162.39090546729943,801.0,462.60909453270057,0.0
302.0,1200.568445375204,162.09748334358844,801.0,462.90251665641154,0.0
303.0,1200.516276679815,161.80568818715125,801.0,463.19431181284875,0.0
304.0,1200.4641079844262,161.51550709374308,801.0,463.48449290625695,0.0
305.0,1200.4119392890373,161.22692729501938,801.0,463.7730727049806,0.0
306.0,1200.3597705936486,160.9399361567507,801.0,464.0600638432493,0.0
307.0,1200.3076018982597,160.6545211770659,801.0,464.34547882293407,0.0
308.0,1200.2554332028708,160.3706699847226,801.0,464.6293300152774,0.0
309.0,1200.2032645074821,160.08837033740488,801.0,464.91162966259515,0.0
310.0,1200.1510958120932,159.80761012004734,801.0,465.19238987995266,0.0
311.0,1200.0989271167043,159.52837734318547,801.0,465.47162265681453,0.0
312.0,1200.0467584213156,159.25066014133154,801.0,465.74933985866846,0.0
313.0,1199.9945897259267,158.9744467713754,801.0,466.02555322862463,0.0
314.0,1199.9424210305378,158.69972561101036,801.0,466.30027438898964,0.0
315.0,1199.8902523351492,158.42648515718304,801.0,466.57351484281696,0.0
316.0,1199.8380836397603,158.1547140245669,801.0,466.84528597543306,0.0
317.0,1199.7859149443714,157.88440094405976,801.0,467.11559905594027,0.0
318.0,1199.7337462489827,157.61553476130345,801.0,467.3844652386965,0.0
319.0,1199.6815775535938,157.34810443522665,801.0,467.6518955647733,0.0
320.0,1199.629408858205,157.08209903660966,801.0,467.91790096339037,0.0
321.0,1199.5772401628162,156.817507746671,801.0,468.182492253329,0.0
322.0,1199.5250714674273,156.55431985567512,801.0,468.4456801443249,0.0
323.0,1199.4729027720384,156.29252476156162,801.0,468.7074752384384,0.0
324.0,1199.4207340766498,156.03211196859462,801.0,468.9678880314054,0.0
325.0,1199.3685653812609,155.77307108603264,801.0,469.22692891396736,0.0
326.0,1199.316396685872,155.51539182681842,801.0,469.4846081731816,0.0
327.0,1199.264227990483,155.2590640062882,801.0,469.7409359937118,0.0
328.0,1199.2120592950944,155.00407754090034,801.0,469.9959224590997,0.0
329.0,1199.1598905997055,154.75042244698272,801.0,470.2495775530173,0.0
330.0,1199.1077219043166,154.49808883949888,801.0,470.5019111605011,0.0
331.0,1199.055553208928,154.2470669308321,801.0,470.7529330691679,0.0
332.0,1199.003384513539,153.99734702958787,801.0,471.0026529704121,0.0
333.0,1198.95121581815,153.7489195394136,801.0,471.2510804605864,0.0
334.0,1198.8990471227614,153.50177495783592,801.0,471.4982250421641,0.0
335.0,1198.8468784273725,153.2559038751147,801.0,471.7440961248853,0.0
336.0,1198.7947097319836,153.0112969731142,801.0,471.9887030268858,0.0
